
	Representative rates for the period  January 01, 2010 - December 31, 2010
	Date	Australian dollar(AUD)	Canadian dollar(CAD)	Chinese yuan(CNY)	euro(EUR)	Indian rupee(INR)	Japanese yen(JPY)	Korean won(KRW)	New Zealand dollar(NZD)	Singapore dollar(SGD)	Swedish krona(SEK)	Swiss franc(CHF)	TUNISIAN DINAR(TND)	U.A.E. dirham(AED)	U.K. pound sterling(GBP)	
	04-Jan-2010	0.897  	1.0378  	6.8281  	1.4389  	46.51  	93.05  	1167.6  	N/A  	1.4038  	7.1425  	1.0336  	N/A  	3.6725  	1.6223  	
	05-Jan-2010	0.9133  	1.0372  	6.8278  	1.4442  	46.2  	91.75  	1156.2  	0.7344  	1.3969  	7.0575  	1.0307  	N/A  	3.6725  	1.6014  	
	06-Jan-2010	0.9138  	1.0334  	6.8277  	1.435  	46.12  	91.6  	1144.3  	0.7343  	1.3966  	N/A  	1.0335  	N/A  	3.6725  	1.5984  	
	07-Jan-2010	0.9225  	1.0351  	6.8276  	1.4304  	45.87  	92.2  	1138.2  	0.7378  	1.3942  	7.1125  	1.035  	N/A  	3.6725  	1.5912  	
	08-Jan-2010	0.9154  	1.0344  	6.8279  	1.4273  	45.8  	93.3  	1133.2  	0.7325  	1.3982  	7.1225  	1.0364  	N/A  	3.6725  	1.6007  	
	11-Jan-2010	0.9309  	1.0317  	6.8275  	1.4528  	45.36  	N/A  	1132.9  	0.7395  	1.388  	7.0325  	1.0164  	N/A  	3.6725  	1.6176  	
	12-Jan-2010	0.9272  	1.0375  	6.8274  	1.4481  	45.4  	92.25  	1119.8  	0.7422  	1.391  	7.035  	1.019  	N/A  	3.6725  	1.6141  	
	13-Jan-2010	0.9238  	1.0322  	6.8273  	1.4563  	45.68  	91.12  	1124.2  	0.7385  	1.3897  	7.06  	1.0163  	N/A  	3.6725  	1.6277  	
	14-Jan-2010	0.9296  	1.0261  	6.8272  	1.4486  	45.48  	91.75  	1126.4  	0.7398  	1.3864  	7.02  	1.0213  	N/A  	3.6725  	1.627  	
	15-Jan-2010	0.9272  	1.0287  	6.8271  	1.4374  	45.67  	91.1  	1122.1  	0.7427  	1.3886  	7.06  	1.0264  	N/A  	3.6725  	1.6288  	
	18-Jan-2010	0.9224  	1.0251  	N/A  	1.4369  	45.66  	90.9  	N/A  	0.7342  	1.3905  	7.04  	1.0259  	N/A  	3.6725  	1.6337  	
	19-Jan-2010	0.9237  	1.0328  	6.827  	1.4279  	45.62  	90.5  	1126.9  	0.739  	1.3878  	7.03  	1.0333  	N/A  	3.6725  	1.6338  	
