
	Representative rates for the period  January 01, 2011 - December 31, 2011
	Date	Australian dollar(AUD)	Canadian dollar(CAD)	Chinese yuan(CNY)	euro(EUR)	Indian rupee(INR)	Japanese yen(JPY)	Korean won(KRW)	New Zealand dollar(NZD)	Singapore dollar(SGD)	Swedish krona(SEK)	Swiss franc(CHF)	U.K. pound sterling(GBP)	
	03-Jan-2011				1.3348  	44.67  		1138.9  		1.2858  	6.74  	0.9355  		
	04-Jan-2011	1.0099  	0.9986  	6.6215  	1.3421  	44.84  	82.1  	1127.5  		1.2855  	6.71  	0.9453  	1.5608  	
	05-Jan-2011	1.0014  	0.9947  	6.6295  	1.3213  	45.2  	82.03  	1122.3  	0.7665  	1.2896  	6.7375  	0.9513  	1.5594  	
	06-Jan-2011	0.9967  	0.9954  	6.6322  	1.3091  	45.31  	83.22  	1125  	0.758  	1.2934  		0.9675  	1.5484  	
	07-Jan-2011	0.9933  	0.9934  	6.6341  	1.2961  	45.37  	83.33  	1123.1  	0.7569  	1.2964  	6.87  	0.9643  	1.5444  	
	10-Jan-2011	0.9958  	0.9925  	6.6349  	1.2903  	45.44  		1122.1  	0.7586  	1.2965  	6.9225  	0.9661  	1.5518  	
	11-Jan-2011	0.9846  	0.9903  	6.6216  	1.2948  	45.32  	83.08  	1120.6  	0.7639  	1.2985  	6.87  	0.9681  	1.5574  	
	12-Jan-2011	0.9848  		6.6128  	1.2973  	45.16  	83.31  	1126.2  	0.7601  	1.2925  	6.82  	0.9727  	1.5603  	
	13-Jan-2011	0.9947  	0.9868  	6.5997  	1.3199  	45.13  	83.09  	1120  	0.7634  	1.2889  	6.775  	0.9726  	1.5769  	
	14-Jan-2011	0.9964  	0.9904  	6.5896  	1.3349  	45.3  	82.75  	1112.2  	0.7725  	1.2879  	6.6775  	0.9667  	1.5848  	
	18-Jan-2011	0.9939  	0.9911  	6.5891  	1.3371  	45.53  	82.51  	1114.7  	0.7724  	1.2885  	6.66  	0.9602  	1.5993  	
	19-Jan-2011	1.0033  	0.9939  	6.5885  	1.3506  	45.38  	82.23  	1116.8  	0.7708  	1.2818  	6.6375  	0.9592  	1.5993  	
	20-Jan-2011	0.9966  	1.0001  	6.5883  	1.3472  	45.58  	82.15  	1112.5  	0.7677  	1.2887  	6.635  	0.9546  	1.599  	
	21-Jan-2011	0.9861  	0.9945  	6.5886  	1.3521  	45.7  	83.03  	1118.2  	0.7569  	1.2868  	6.64  	0.9646  	1.5929  	
	24-Jan-2011	0.9881  	0.9934  	6.5883  	1.3571  	45.58  	82.77  	1122  		1.2848  	6.6125  	0.9591  	1.5942  	
	25-Jan-2011	0.9959  	0.9986  	6.5881  	1.3596  	45.53  	82.43  	1120.3  	0.7632  	1.2811  	6.5475  	0.9462  	1.5789  	
	26-Jan-2011		0.9953  	6.5878  	1.3681  		82.05  	1117.6  	0.7688  	1.2807  	6.51  	0.943  	1.5859  	
	27-Jan-2011	0.9964  	0.9941  	6.5876  	1.3716  	45.57  	82.15  	1118.2  	0.7724  	1.2794  	6.4675  	0.942  	1.5961  	
	28-Jan-2011	0.9894  	0.999  	6.593  	1.371  	45.74  	82.72  	1114.3  	0.7722  	1.2814  	6.47  	0.9432  	1.5924  	
	31-Jan-2011	0.9924  	1.0022  	6.5891  	1.3692  	45.95  	82.05  	1114.3  	0.7703  	1.2865  	6.5375  	0.9431  	1.5891  	
	01-Feb-2011	1.0037  	0.9922  	6.586  	1.3755  	45.81  	82.02  	1122.7  	0.7724  	1.2787  	6.42  	0.9412  	1.611  	
	02-Feb-2011	1.0125  	0.9883  		1.3803  	45.63  	81.5  		0.7808  	1.2735  	6.3775  	0.9393  	1.6202  	
	03-Feb-2011	1.0105  	0.9901  		1.3745  	45.63  	81.64  		0.7726  		6.4325  	0.9445  	1.6215  	
	04-Feb-2011	1.0186  	0.9901  		1.3631  	45.64  	81.58  		0.7727  		6.455  	0.9485  	1.6119  	
	07-Feb-2011	1.0135  			1.3553  	45.59  	82.23  	1116.7  		1.2755  	6.465  	0.959  	1.6104  	
	08-Feb-2011	1.0146  	0.9906  		1.3635  	45.39  	82.29  	1107  	0.7702  	1.2746  	6.43  	0.9541  	1.6122  	
	09-Feb-2011	1.0133  		6.585  	1.3647  	45.33  	82.35  	1104.4  	0.7753  	1.2743  	6.4375  	0.9654  	1.606  	
	10-Feb-2011	1.0074  	0.9955  	6.5849  	1.3604  	45.58  	82.53  	1104.8  	0.7721  	1.2758  	6.465  	0.9633  	1.6056  	
	11-Feb-2011	0.9991  		6.5952  	1.3524  	45.76  		1112.9  	0.7634  	1.2809  	6.515  	0.9741  	1.5987  	
	14-Feb-2011	1.004  	0.9885  	6.5985  	1.344  	45.5  	83.19  	1120.7  	0.7565  	1.2807  	6.5175  	0.972  	1.6001  	
	15-Feb-2011	1.0043  	0.9887  	6.5929  	1.351  	45.45  	83.28  	1123.9  	0.7569  	1.2806  	6.4875  	0.9695  	1.612  	
	16-Feb-2011	0.9998  	0.9855  	6.5855  	1.351  		83.75  	1122.5  	0.752  	1.2805  	6.4575  	0.9674  	1.6062  	
	17-Feb-2011	1.0035  	0.9839  	6.58  	1.356  	45.38  	83.58  	1120.7  	0.7546  	1.2787  	6.4425  	0.9576  	1.6117  	
	18-Feb-2011	1.0126  		6.5781  	1.3627  	45.18  	83.28  	1116.2  	0.7588  	1.2763  	6.415  	0.9527  	1.6205  	
	22-Feb-2011	1.0037  	0.9859  	6.5772  	1.3667  	45.2  	83.07  	1116.4  	0.7632  	1.2815  	6.5175  	0.9416  	1.615  	
	23-Feb-2011	1.0019  	0.9924  	6.5828  	1.3731  	45.2  	82.85  	1125.9  	0.7465  	1.2791  	6.41  	0.9376  	1.6244  	
	24-Feb-2011	1.0075  	0.9842  	6.5795  	1.3773  	45.37  	82.17  	1125.8  	0.7457  	1.2766  	6.4225  	0.9265  	1.6155  	
	25-Feb-2011	1.0134  	0.9809  	6.5757  	1.3762  	45.37  	81.95  	1126.9  	0.7476  	1.2763  	6.375  	0.9283  	1.6096  	
	28-Feb-2011	1.0163  	0.9739  	6.5752  	1.3834  	45.18  	81.7  	1127.9  	0.7519  	1.2738  	6.4025  	0.9283  	1.6234  	
	01-Mar-2011	1.0156  	0.9743  	6.5706  	1.3825  	45.12  	81.93  		0.7533  	1.271  	6.3  	0.9301  	1.6277  	
	02-Mar-2011	1.0092  	0.9734  	6.5736  	1.3809  		81.93  	1128.8  	0.7466  	1.2735  	6.34  	0.9259  	1.6316  	
	03-Mar-2011	1.0153  	0.9747  	6.5695  	1.385  	44.96  	81.84  	1128.4  	0.7434  	1.2689  	6.315  	0.9261  	1.6277  	
	04-Mar-2011	1.0139  	0.9714  	6.5671  	1.3957  	44.99  	82.34  	1122.6  	0.7403  	1.2676  	6.3175  	0.9293  	1.629  	
	07-Mar-2011	1.0127  	0.9738  	6.5651  	1.4028  	45.13  	82.37  	1116.2  	0.737  	1.2672  	6.365  	0.925  	1.632  	
	08-Mar-2011	1.0123  	0.9713  	6.5687  	1.3898  	45.03  	82.25  	1117.9  	0.7374  	1.2669  	6.3675  	0.9319  	1.6186  	
	09-Mar-2011	1.0068  	0.9686  	6.5748  	1.3928  	45.02  	82.85  	1117.4  	0.7397  	1.2693  	6.37  	0.9284  	1.6222  	
	10-Mar-2011	1.005  	0.9731  	6.5713  	1.3817  	45.11  	82.82  	1115.2  	0.7363  	1.2709  	6.3825  	0.934  	1.6172  	
	11-Mar-2011	1.0032  	0.9734  	6.575  	1.3773  	45.21  	82.82  	1118.4  	0.7351  	1.2717  	6.3825  	0.9344  	1.5994  	
	14-Mar-2011	1.0076  	0.9759  	6.5701  	1.3948  	45.15  	82.2  	1124.5  	0.7409  	1.2705  	6.365  	0.9272  	1.6105  	
	15-Mar-2011	0.9964  	0.983  	6.5679  	1.3884  	45.27  	81.85  	1129.8  	0.7395  	1.2751  	6.4025  	0.9206  	1.6017  	
	16-Mar-2011	0.991  	0.9918  	6.5718  	1.3951  	45.18  	80.83  	1131.3  	0.7309  	1.2787  	6.4125  	0.9167  	1.6082  	
	17-Mar-2011	0.9794  	0.9885  	6.569  	1.4004  	45.24  	79.2  	1132.8  	0.7174  	1.2823  	6.45  	0.9017  	1.6129  	
	18-Mar-2011	0.9936  		6.5668  	1.413  	45.09  	81.3  	1137.6  	0.7195  	1.2728  	6.375  	0.9014  	1.6161  	
	21-Mar-2011	1.0018  	0.9774  	6.5632  	1.4194  	45.05  		1128.3  	0.7298  	1.2697  	6.2675  	0.9059  	1.6266  	
	22-Mar-2011		0.9768  	6.5592  	1.4211  	44.97  	80.9  	1125.9  	0.7353  	1.2664  	6.26  	0.9029  	1.6376  	
	23-Mar-2011	1.0101  	0.9821  	6.5601  	1.4136  	44.96  	81.05  	1121.7  	0.7406  	1.2648  	6.3  	0.9009  	1.627  	
	24-Mar-2011	1.0129  	0.9748  	6.5625  	1.4128  	44.77  	80.96  	1123.7  	0.7427  	1.2644  	6.34  	0.9098  	1.6183  	
	25-Mar-2011	1.0207  	0.9778  	6.558  	1.4115  	44.65  	81  	1122.8  	0.7498  	1.261  	6.34  	0.9131  	1.6104  	
	28-Mar-2011	1.026  	0.9758  	6.5618  	1.4032  	44.78  	81.73  	1114.5  	0.7518  	1.2629  	6.41  	0.9187  	1.5977  	
	29-Mar-2011	1.0256  		6.5625  	1.4066  	44.67  	81.7  	1114.2  	0.7509  	1.2635  	6.355  	0.9196  	1.5985  	
	30-Mar-2011	1.0325  	0.9714  	6.5586  	1.409  	44.77  	82.46  	1114.6  	0.7569  	1.2636  	6.3425  	0.9224  	1.6052  	
	31-Mar-2011	1.0334  	0.9718  	6.5564  	1.4207  	44.65  	83.13  	1107.2  	0.7627  	1.2617  	6.3025  	0.9148  	1.6092  	
	01-Apr-2011	1.0345  	0.9629  	6.5527  	1.4141  		83.46  	1100.1  	0.7609  	1.2616  	6.3225  	0.9227  	1.6046  	
	04-Apr-2011	1.0385  	0.9679  		1.424  		84.16  	1094.6  	0.7685  	1.2605  	6.3075  	0.9235  	1.6141  	
	05-Apr-2011	1.0328  	0.9636  		1.4166  		84.31  	1086.9  	0.7678  	1.2613  	6.3425  	0.924  	1.6232  	
	06-Apr-2011	1.0356  	0.9588  	6.5496  	1.43  	44.2  	85.3  	1089.7  	0.7675  	1.2606  	6.3  	0.9163  	1.6314  	
	07-Apr-2011	1.0465  	0.9593  	6.5456  	1.4283  	44.22  	85.3  	1085.5  	0.7775  	1.2605  	6.345  	0.9177  	1.634  	
	08-Apr-2011	1.0522  		6.542  	1.4401  		85.13  	1088  	0.7777  	1.2574  	6.2575  	0.913  	1.6347  	
	11-Apr-2011	1.0564  	0.9547  	6.5401  	1.4434  	44.2  	84.7  	1085.4  	0.782  	1.256  	6.2075  	0.9092  	1.6356  	
	12-Apr-2011	1.0438  	0.9625  	6.544  	1.447  		83.9  	1084.4  	0.7822  	1.2604  	6.295  	0.9019  	1.6262  	
	13-Apr-2011	1.0478  	0.964  	6.5369  	1.4493  	44.48  	83.95  	1091.7  	0.7848  	1.2581  	6.25  	0.898  	1.6271  	
	14-Apr-2011	1.0534  	0.9626  	6.5339  	1.4401  		83.48  	1092.5  	0.7876  	1.2492  	6.23  	0.895  	1.6297  	
	15-Apr-2011	1.0524  	0.9615  		1.445  	44.52  	83.65  	1089.4  	0.7938  	1.2445  	6.19  	0.8933  	1.6348  	
	18-Apr-2011	1.0563  	0.9691  	6.531  	1.4275  	44.27  	82.95  	1087.9  	0.7957  	1.2443  	6.2375  	0.8975  	1.6273  	
	19-Apr-2011	1.0463  	0.9571  	6.5346  	1.4302  	44.68  	82.45  	1089.9  	0.7866  	1.2497  	6.28  	0.8994  	1.6294  	
	20-Apr-2011	1.0583  	0.9524  	6.5294  	1.4515  	44.38  	82.82  	1092.8  	0.7898  	1.2408  	6.19  	0.8923  	1.6375  	
	21-Apr-2011	1.0769  	0.9519  	6.5228  	1.4584  	44.3  	82  	1083.7  	0.7959  	1.2369  	6.0875  	0.8837  	1.6552  	
	22-Apr-2011			6.5156  			81.85  	1080.1  						
